GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CSERVICES_COMMON,com.bnp.cservices.utils,SerialVersionUID,3,0,0,0,2,0,1,0,1,0
CSERVICES_COMMON,com.bnp.cservices.exception,ErrorCode,12,78,0,0,1,11,3,3,3,3
CSERVICES_COMMON,com.bnp.cservices.exception,MyException,0,18,0,0,0,8,0,4,0,4
CSERVICES_COMMON,com.bnp.cservices.config,SpringConfig,59,0,0,0,17,0,8,0,8,0
